Prompt,# of Unique Nodes,# of Unique Edges,# of Unique Triples,# of Synonymy Edges,Average Degree,Density,wccR,AUC,Precision,Recall,F1
prompt_v1_run1,181,129,130,23,1.4254,0.003959,0.287293,0.298,0.454,0.41,0.431
prompt_v1_run2,179,130,130,26,1.4525,0.00408,0.273743,0.324,0.5,0.432,0.464
prompt_v1_run4,186,105,134,30,1.4409,0.003894,0.27957,0.307,0.466,0.419,0.441
,182,121.3333333,131.3333333,26.33333333,1.4396,0.003977667,0.280202,0.309666667,0.473333333,0.420333333,0.445333333
,,,,,,,28.0202,30.96666667,47.33333333,42.03333333,44.53333333
,,,,,,,,,,,
,,,,,,,,,,,
prompt_v1_run3,186,132,132,24,1.4194,0.003836,0.290323,0.322,0.486,0.434,0.458
,,,,,,,,,,,
prompt_v2_run1,193,111,139,32,1.4404,0.003751,0.279793,0.323,0.489,0.434,0.46
prompt_v2_run2,187,114,135,29,1.4332,0.003853,0.283422,0.323,0.497,0.432,0.462
prompt_v2_run3,188,137,137,30,1.4574,0.003897,0.271277,0.314,0.485,0.423,0.452
,189.3333333,120.6666667,137,30.33333333,1.443666667,0.003833667,0.278164,0.32,0.490333333,0.429666667,0.458
,,,,,,,27.8164,32,49.03333333,42.96666667,45.8
,,,,,,,,,,,
prompt_v3_run1,180,125,125,22,1.3889,0.00388,0.305556,0.303,0.475,0.411,0.441
prompt_v3_run2,174,127,127,20,1.4598,0.004219,0.270115,0.296,0.456,0.407,0.43
prompt_v3_run3,188,134,134,32,1.4255,0.003812,0.287234,0.314,0.478,0.425,0.45
,180.6666667,128.6666667,128.6666667,24.66666667,1.424733333,0.003970333,0.287635,0.304333333,0.469666667,0.414333333,0.440333333
,,,,,,,28.7635,30.43333333,46.96666667,41.43333333,44.03333333
,,,,,,,,,,,
prompt_v2_no-within examples_run1,190,137,137,26,1.4421,0.003815,0.278947,0.321,0.495,0.429,0.46
prompt_v2_no-within examples_run2,184,134,134,26,1.4565,0.00398,0.271739,0.31,0.482,0.419,0.448
prompt_v2_no-within examples_run3,187,134,134,28,1.4332,0.003853,0.283422,0.323,0.501,0.431,0.463
,187,135,135,26.66666667,1.443933333,0.003882667,0.278036,0.318,0.492666667,0.426333333,0.457
,,,,,,,27.8036,31.8,49.26666667,42.63333333,45.7
,,,,,,,,,,,
prompt_v2_no-carb_run1,178,128,128,22,1.4382,0.004063,0.280899,0.314,0.496,0.42,0.455
prompt_v2_no-carb_run2,178,125,125,30,1.4045,0.003967,0.297753,0.309,0.491,0.415,0.449
prompt_v2_no-carb_run3,178,123,126,21,1.382,0.003904,0.308989,0.32,0.496,0.428,0.459
,178,125.3333333,126.3333333,24.33333333,1.408233333,0.003978,0.295880333,0.314333333,0.494333333,0.421,0.454333333
,,,,,,,29.58803333,31.43333333,49.43333333,42.1,45.43333333
,,,,,,,,,,,
prompt_v4_run1,190,132,132,32,1.3895,0.003676,0.305263,0.323,0.499,0.43,0.462
prompt_v4_run2,183,126,126,30,1.377,0.003783,0.311475,0.323,0.492,0.434,0.461
prompt_v4_run3,192,137,137,26,1.4271,0.003736,0.286458,0.313,0.466,0.427,0.446
,188.3333333,131.6666667,131.6666667,29.33333333,1.397866667,0.003731667,0.301065333,0.319666667,0.485666667,0.430333333,0.456333333
,,,,,,,30.10653333,31.96666667,48.56666667,43.03333333,45.63333333
,,,,,,,,,,,
,,,,,,,,,,,
prompt_v2_5shot_run1,187,133,133,36,1.4225,0.003824,0.28877,0.301,0.447,0.415,0.431
prompt_v2_5shot_run2,179,131,131,28,1.4637,0.004111,0.268156,0.295,0.421,0.415,0.418
prompt_v2_5shot_run3,177,129,129,22,1.4576,0.004141,0.271186,0.291,0.427,0.408,0.417
,181,131,131,28.66666667,1.447933333,0.004025333,0.276037333,0.295666667,0.431666667,0.412666667,0.422
,,,,,,,27.60373333,29.56666667,43.16666667,41.26666667,42.2
,,,,,,,,,,,
