Prompt,# of Unique Nodes,# of Unique Edges,# of Unique Triples,# of Synonymy Edges,Average Degree,Density,wccR,AUC,Precision,Recall,F1
prompt_v1_run1,181,129,130,23,1.4254,0.003959,0.287293,0.298,0.454,0.41,0.431
prompt_v1_run2,179,130,130,26,1.4525,0.00408,0.273743,0.324,0.5,0.432,0.464
prompt_v1_run4,186,105,134,30,1.4409,0.003894,0.27957,0.307,0.466,0.419,0.441
prompt_v1_run3,186,132,132,24,1.4194,0.003836,0.290323,0.322,0.486,0.434,0.458
prompt_v2_run1,193,111,139,32,1.4404,0.003751,0.279793,0.323,0.489,0.434,0.46
prompt_v2_run2,187,114,135,29,1.4332,0.003853,0.283422,0.323,0.497,0.432,0.462
prompt_v2_run3,188,137,137,30,1.4574,0.003897,0.271277,0.314,0.485,0.423,0.452
prompt_v3_run1,180,125,125,22,1.3889,0.00388,0.305556,0.303,0.475,0.411,0.441
prompt_v3_run2,174,127,127,20,1.4598,0.004219,0.270115,0.296,0.456,0.407,0.43
prompt_v3_run3,188,134,134,32,1.4255,0.003812,0.287234,0.314,0.478,0.425,0.45
prompt_v2_no-within examples_run1,190,137,137,26,1.4421,0.003815,0.278947,0.321,0.495,0.429,0.46
prompt_v2_no-within examples_run2,184,134,134,26,1.4565,0.00398,0.271739,0.31,0.482,0.419,0.448
prompt_v2_no-within examples_run3,187,134,134,28,1.4332,0.003853,0.283422,0.323,0.501,0.431,0.463
prompt_v2_no-carb_run1,178,128,128,22,1.4382,0.004063,0.280899,0.314,0.496,0.42,0.455
prompt_v2_no-carb_run2,178,125,125,30,1.4045,0.003967,0.297753,0.309,0.491,0.415,0.449
prompt_v2_no-carb_run3,178,123,126,21,1.382,0.003904,0.308989,0.32,0.496,0.428,0.459
prompt_v4_run1,190,132,132,32,1.3895,0.003676,0.305263,0.323,0.499,0.43,0.462
prompt_v4_run2,183,126,126,30,1.377,0.003783,0.311475,0.323,0.492,0.434,0.461
prompt_v4_run3,192,137,137,26,1.4271,0.003736,0.286458,0.313,0.466,0.427,0.446
prompt_v2_5shot_run1,187,133,133,36,1.4225,0.003824,0.28877,0.301,0.447,0.415,0.431
prompt_v2_5shot_run2,179,131,131,28,1.4637,0.004111,0.268156,0.295,0.421,0.415,0.418
prompt_v2_5shot_run3,177,129,129,22,1.4576,0.004141,0.271186,0.291,0.427,0.408,0.417
prompt_v2_other3shot_run1,185,129,129,30,1.3946,0.00379,0.302703,0.288,0.439,0.4,0.418
prompt_v2_other3shot_run2,175,125,125,28,1.4286,0.004105,0.285714,0.286,0.434,0.399,0.416
prompt_v2_other3shot_run3,168,119,119,30,1.4167,0.004242,0.291667,0.298,0.451,0.411,0.43
prompt_v2_1shot(13)_run1,171,125,126,27,1.462,0.0043,0.269006,0.296,0.465,0.405,0.433
prompt_v2_1shot(13)_run2,161,116,117,29,1.441,0.004503,0.279503,0.308,0.5,0.41,0.451
prompt_v2_1shot(13)_run3,175,123,124,31,1.4057,0.004039,0.297143,0.293,0.464,0.4,0.43
prompt_v2_3shot_run2_run1,184,131,132,21,1.4239,0.00389,0.288043,0.316,0.486,0.425,0.454
prompt_v2_3shot_run2_run2,188,137,137,24,1.4574,0.003897,0.271277,0.328,0.502,0.437,0.467
prompt_v2_3shot_run2_run3,186,131,131,22,1.4086,0.003807,0.295699,0.306,0.485,0.412,0.445
prompt_v2_10shot(w/ gold)_run1,192,139,139,44,1.4479,0.00379,0.276042,0.424,0.656,0.512,0.575
prompt_v2_10shot(w/ gold)_run2,165,122,122,30,1.4788,0.004508,0.260606,0.413,0.721,0.48,0.576
prompt_v2_10shot(w/ gold)_run3,172,131,131,34,1.5233,0.004454,0.238372,0.425,0.739,0.488,0.588
prompt_v2_5shot_run2_run1,188,113,134,36,2.8511,0.007623,0.287234,0.299,0.443,0.414,0.428
prompt_v2_5shot_run2_run2,174,109,127,26,1.4598,0.004219,0.270115,0.277,0.415,0.391,0.403
prompt_v2_5shot_run2_run3,177,112,125,30,1.4124,0.004013,0.293785,0.296,0.442,0.411,0.425
